"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ENSMUSG00000029304",0,5.44468220486576,1,0.246,0,"cholangiocyte","ENSMUSG00000029304"
"ENSMUSG00000022037",0,4.77202574965943,1,0.531,0,"cholangiocyte","ENSMUSG00000022037"
"ENSMUSG00000027801",0,4.23845029395368,1,0.16,0,"cholangiocyte","ENSMUSG00000027801"
"ENSMUSG00000045394",0,3.75327742728636,0.998,0.01,0,"cholangiocyte","ENSMUSG00000045394"
"ENSMUSG00000103711",0,3.53353026310808,0.996,0.082,0,"cholangiocyte","ENSMUSG00000103711"
"ENSMUSG00000024803",0,3.43854185237389,0.716,0.011,0,"cholangiocyte","ENSMUSG00000024803"
"ENSMUSG00000023043",0,3.42003194360889,0.999,0.267,0,"cholangiocyte","ENSMUSG00000023043"
"ENSMUSG00000049382",0,3.32227799139116,0.999,0.268,0,"cholangiocyte","ENSMUSG00000049382"
"ENSMUSG00000031626",0,3.27080218757593,0.994,0.137,0,"cholangiocyte","ENSMUSG00000031626"
"ENSMUSG00000034127",0,3.19429882658935,0.767,0.006,0,"cholangiocyte","ENSMUSG00000034127"
"ENSMUSG00000000567",0,3.02222223264082,0.967,0.077,0,"cholangiocyte","ENSMUSG00000000567"
"ENSMUSG00000014329",0,2.97263840165422,0.984,0.082,0,"cholangiocyte","ENSMUSG00000014329"
"ENSMUSG00000076431",0,2.94118931606108,0.962,0.147,0,"cholangiocyte","ENSMUSG00000076431"
"ENSMUSG00000027712",0,2.90639098765018,1,0.809,0,"cholangiocyte","ENSMUSG00000027712"
"ENSMUSG00000018569",0,2.77461873357948,0.962,0.004,0,"cholangiocyte","ENSMUSG00000018569"
"ENSMUSG00000026576",0,2.73436494341162,0.978,0.097,0,"cholangiocyte","ENSMUSG00000026576"
"ENSMUSG00000020911",0,2.70741645490002,0.895,0.007,0,"cholangiocyte","ENSMUSG00000020911"
"ENSMUSG00000070473",0,2.66840991609498,0.984,0.13,0,"cholangiocyte","ENSMUSG00000070473"
"ENSMUSG00000048706",0,2.66364951709583,0.956,0.103,0,"cholangiocyte","ENSMUSG00000048706"
"ENSMUSG00000044393",0,2.60416448845744,0.965,0.125,0,"cholangiocyte","ENSMUSG00000044393"
"ENSMUSG00000026628",0,2.59137650441679,0.799,0.466,0,"cholangiocyte","ENSMUSG00000026628"
"ENSMUSG00000031451",0,2.59003645061796,0.985,0.371,0,"cholangiocyte","ENSMUSG00000031451"
"ENSMUSG00000021795",0,2.57156722871189,0.755,0.003,0,"cholangiocyte","ENSMUSG00000021795"
"ENSMUSG00000028195",0,2.51862421860153,0.9,0.247,0,"cholangiocyte","ENSMUSG00000028195"
"ENSMUSG00000022636",0,2.51599227426156,0.988,0.218,0,"cholangiocyte","ENSMUSG00000022636"
"ENSMUSG00000003617",0,2.45954114642937,1,0.445,0,"cholangiocyte","ENSMUSG00000003617"
"ENSMUSG00000046818",0,2.42569236506748,0.892,0.012,0,"cholangiocyte","ENSMUSG00000046818"
"ENSMUSG00000034463",0,2.40438852796358,0.94,0.003,0,"cholangiocyte","ENSMUSG00000034463"
"ENSMUSG00000029994",0,2.40423512505094,0.985,0.269,0,"cholangiocyte","ENSMUSG00000029994"
"ENSMUSG00000043760",0,2.35781865442981,0.929,0.019,0,"cholangiocyte","ENSMUSG00000043760"
"ENSMUSG00000057092",0,2.31430940214182,0.855,0.002,0,"cholangiocyte","ENSMUSG00000057092"
"ENSMUSG00000029359",0,2.30694634276746,0.877,0.004,0,"cholangiocyte","ENSMUSG00000029359"
"ENSMUSG00000046727",0,2.29706384483145,0.96,0.143,0,"cholangiocyte","ENSMUSG00000046727"
"ENSMUSG00000047139",0,2.28662379268542,0.941,0.107,0,"cholangiocyte","ENSMUSG00000047139"
"ENSMUSG00000045991",0,2.2439934798579,0.972,0.167,0,"cholangiocyte","ENSMUSG00000045991"
"ENSMUSG00000028716",0,2.1957039833496,0.88,0.024,0,"cholangiocyte","ENSMUSG00000028716"
"ENSMUSG00000032068",0,2.14785057759886,0.85,0.028,0,"cholangiocyte","ENSMUSG00000032068"
"ENSMUSG00000037443",0,2.1388660436885,0.964,0.359,0,"cholangiocyte","ENSMUSG00000037443"
"ENSMUSG00000035910",0,2.1249096601108,0.896,0.043,0,"cholangiocyte","ENSMUSG00000035910"
"ENSMUSG00000000303",0,2.00968498092859,0.92,0.085,0,"cholangiocyte","ENSMUSG00000000303"
"ENSMUSG00000027276",0,2.00022574793364,0.807,0.152,0,"cholangiocyte","ENSMUSG00000027276"
"ENSMUSG00000021754",0,1.99208135559539,0.958,0.378,0,"cholangiocyte","ENSMUSG00000021754"
"ENSMUSG00000040170",0,1.89787221447515,0.828,0.016,0,"cholangiocyte","ENSMUSG00000040170"
"ENSMUSG00000034875",0,1.88537903779787,0.864,0.216,0,"cholangiocyte","ENSMUSG00000034875"
"ENSMUSG00000032060",0,1.87141741672709,0.884,0.115,0,"cholangiocyte","ENSMUSG00000032060"
"ENSMUSG00000023905",0,1.85448894845316,0.797,0.092,0,"cholangiocyte","ENSMUSG00000023905"
"ENSMUSG00000030605",0,1.8300792560138,0.937,0.323,0,"cholangiocyte","ENSMUSG00000030605"
"ENSMUSG00000054252",0,1.81266511788455,0.859,0.108,0,"cholangiocyte","ENSMUSG00000054252"
"ENSMUSG00000021338",0,1.80650125293265,0.883,0.06,0,"cholangiocyte","ENSMUSG00000021338"
"ENSMUSG00000019997",0,1.79880726591699,0.609,0.083,0,"cholangiocyte","ENSMUSG00000019997"
"ENSMUSG00000055114",0,1.79774648732431,0.817,0.002,0,"cholangiocyte","ENSMUSG00000055114"
"ENSMUSG00000035165",0,1.79753000613908,0.703,0.008,0,"cholangiocyte","ENSMUSG00000035165"
"ENSMUSG00000047844",0,1.78694849636448,0.827,0.003,0,"cholangiocyte","ENSMUSG00000047844"
"ENSMUSG00000055322",0,1.78322125511959,0.973,0.464,0,"cholangiocyte","ENSMUSG00000055322"
"ENSMUSG00000056973",0,1.77818968004795,0.911,0.211,0,"cholangiocyte","ENSMUSG00000056973"
"ENSMUSG00000064215",0,1.77532871745008,0.969,0.502,0,"cholangiocyte","ENSMUSG00000064215"
"ENSMUSG00000052684",0,1.75419705629418,0.986,0.812,0,"cholangiocyte","ENSMUSG00000052684"
"ENSMUSG00000020644",0,1.74988839017818,0.995,0.654,0,"cholangiocyte","ENSMUSG00000020644"
"ENSMUSG00000074227",0,1.71914488105585,0.948,0.352,0,"cholangiocyte","ENSMUSG00000074227"
"ENSMUSG00000024084",0,1.70935874031568,0.883,0.152,0,"cholangiocyte","ENSMUSG00000024084"
"ENSMUSG00000024986",0,1.69824922585907,0.929,0.353,0,"cholangiocyte","ENSMUSG00000024986"
"ENSMUSG00000040681",0,1.6950345096218,0.984,0.544,0,"cholangiocyte","ENSMUSG00000040681"
"ENSMUSG00000033377",0,1.69171013741826,0.802,0.087,0,"cholangiocyte","ENSMUSG00000033377"
"ENSMUSG00000079523",0,1.6907706904262,0.993,0.495,0,"cholangiocyte","ENSMUSG00000079523"
"ENSMUSG00000032076",0,1.67140458944551,0.937,0.238,0,"cholangiocyte","ENSMUSG00000032076"
"ENSMUSG00000023039",0,1.66557978708263,0.786,0.054,0,"cholangiocyte","ENSMUSG00000023039"
"ENSMUSG00000092341",0,1.64340618129953,1,0.989,0,"cholangiocyte","ENSMUSG00000092341"
"ENSMUSG00000021097",0,1.6365072824136,0.866,0.125,0,"cholangiocyte","ENSMUSG00000021097"
"ENSMUSG00000024511",0,1.61456694203088,0.792,0.055,0,"cholangiocyte","ENSMUSG00000024511"
"ENSMUSG00000023175",0,1.61324884768287,0.996,0.811,0,"cholangiocyte","ENSMUSG00000023175"
"ENSMUSG00000017723",0,1.61229323958282,0.725,0.022,0,"cholangiocyte","ENSMUSG00000017723"
"ENSMUSG00000096215",0,1.60489455120244,0.807,0.048,0,"cholangiocyte","ENSMUSG00000096215"
"ENSMUSG00000033161",0,1.59407145926533,0.993,0.776,0,"cholangiocyte","ENSMUSG00000033161"
"ENSMUSG00000025351",0,1.58757101543431,0.977,0.299,0,"cholangiocyte","ENSMUSG00000025351"
"ENSMUSG00000006777",0,1.58389211557279,0.734,0.005,0,"cholangiocyte","ENSMUSG00000006777"
"ENSMUSG00000018849",0,1.56773591852504,0.864,0.109,0,"cholangiocyte","ENSMUSG00000018849"
"ENSMUSG00000078719",0,1.56634601147899,0.142,0.001,0,"cholangiocyte","ENSMUSG00000078719"
"ENSMUSG00000027800",0,1.56281193195378,0.677,0.354,0,"cholangiocyte","ENSMUSG00000027800"
"ENSMUSG00000032959",0,1.55037083324423,0.985,0.648,0,"cholangiocyte","ENSMUSG00000032959"
"ENSMUSG00000017009",0,1.54577159256487,0.987,0.543,0,"cholangiocyte","ENSMUSG00000017009"
"ENSMUSG00000033295",0,1.53692093853885,0.913,0.149,0,"cholangiocyte","ENSMUSG00000033295"
"ENSMUSG00000050071",0,1.50675259238071,0.723,0.001,0,"cholangiocyte","ENSMUSG00000050071"
"ENSMUSG00000024486",0,1.50225514387525,0.716,0.234,0,"cholangiocyte","ENSMUSG00000024486"
"ENSMUSG00000052397",0,1.49917485200475,0.865,0.287,0,"cholangiocyte","ENSMUSG00000052397"
"ENSMUSG00000029086",0,1.4979074025117,0.721,0.022,0,"cholangiocyte","ENSMUSG00000029086"
"ENSMUSG00000021850",0,1.48617164211408,0.769,0.002,0,"cholangiocyte","ENSMUSG00000021850"
"ENSMUSG00000001911",0,1.47928365667208,0.95,0.454,0,"cholangiocyte","ENSMUSG00000001911"
"ENSMUSG00000042784",0,1.4765811839164,0.611,0.004,0,"cholangiocyte","ENSMUSG00000042784"
"ENSMUSG00000011034",0,1.46574448070754,0.739,0.002,0,"cholangiocyte","ENSMUSG00000011034"
"ENSMUSG00000045095",0,1.45914520089246,0.828,0.152,0,"cholangiocyte","ENSMUSG00000045095"
"ENSMUSG00000063171",0,1.44971670234887,0.793,0.242,0,"cholangiocyte","ENSMUSG00000063171"
"ENSMUSG00000043013",0,1.427331990379,0.68,0.066,0,"cholangiocyte","ENSMUSG00000043013"
"ENSMUSG00000096956",0,1.40871426752191,0.771,0.096,0,"cholangiocyte","ENSMUSG00000096956"
"ENSMUSG00000049086",0,1.39518238884568,0.821,0.181,0,"cholangiocyte","ENSMUSG00000049086"
"ENSMUSG00000012350",0,1.39455190050168,0.662,0.003,0,"cholangiocyte","ENSMUSG00000012350"
"ENSMUSG00000024843",0,1.37256063508495,0.925,0.313,0,"cholangiocyte","ENSMUSG00000024843"
"ENSMUSG00000029810",0,1.37073590550667,0.997,0.631,0,"cholangiocyte","ENSMUSG00000029810"
"ENSMUSG00000004032",0,1.36791714210306,0.795,0.133,0,"cholangiocyte","ENSMUSG00000004032"
"ENSMUSG00000030342",0,1.3671821737049,0.989,0.559,0,"cholangiocyte","ENSMUSG00000030342"
"ENSMUSG00000022505",0,1.3530110405735,0.768,0.086,0,"cholangiocyte","ENSMUSG00000022505"
"ENSMUSG00000054889",0,1.34943645301698,0.741,0.075,0,"cholangiocyte","ENSMUSG00000054889"
"ENSMUSG00000008601",0,1.34201712573923,0.702,0.001,0,"cholangiocyte","ENSMUSG00000008601"
"ENSMUSG00000020679",0,1.33708726029103,0.712,0.031,0,"cholangiocyte","ENSMUSG00000020679"
"ENSMUSG00000022010",0,1.32192183760578,0.86,0.345,0,"cholangiocyte","ENSMUSG00000022010"
"ENSMUSG00000026822",0,1.31622382591631,0.901,0.435,0,"cholangiocyte","ENSMUSG00000026822"
"ENSMUSG00000010175",0,1.30548704948095,0.807,0.161,0,"cholangiocyte","ENSMUSG00000010175"
"ENSMUSG00000008575",0,1.29679982081772,0.992,0.604,0,"cholangiocyte","ENSMUSG00000008575"
"ENSMUSG00000038879",0,1.28748186624028,0.739,0.103,0,"cholangiocyte","ENSMUSG00000038879"
"ENSMUSG00000068876",0,1.28637101888222,0.727,0.081,0,"cholangiocyte","ENSMUSG00000068876"
"ENSMUSG00000030541",0,1.28552956607612,0.921,0.392,0,"cholangiocyte","ENSMUSG00000030541"
"ENSMUSG00000027315",0,1.28409169824078,0.712,0.007,0,"cholangiocyte","ENSMUSG00000027315"
"ENSMUSG00000022754",0,1.28392691423512,0.546,0.018,0,"cholangiocyte","ENSMUSG00000022754"
"ENSMUSG00000047040",0,1.28387778612037,0.69,0.023,0,"cholangiocyte","ENSMUSG00000047040"
"ENSMUSG00000016559",0,1.27189462177496,1,0.984,0,"cholangiocyte","ENSMUSG00000016559"
"ENSMUSG00000027907",0,1.27054141686822,0.978,0.531,0,"cholangiocyte","ENSMUSG00000027907"
"ENSMUSG00000003534",0,1.26856424745376,0.694,0.029,0,"cholangiocyte","ENSMUSG00000003534"
"ENSMUSG00000036856",0,1.26755570969737,0.705,0.081,0,"cholangiocyte","ENSMUSG00000036856"
"ENSMUSG00000026840",0,1.26561613049471,0.631,0.001,0,"cholangiocyte","ENSMUSG00000026840"
