"logFC.X1","logFC.X2","logFC.X3","logCPM","F","PValue","FDR","Symbol","ENSEMBL","celltype"
"ENSMUSG00000015568.hepatocyte",6.08438437163168,3.94709989262447,4.35153100934436,5.02873492629226,73.9939012543059,5.29651997148526e-14,7.1289040208203e-09,"Lpl","ENSMUSG00000015568","hepatocyte"
"ENSMUSG00000037071.stellate",5.31341550303424,1.18408485460353,2.88112673503016,4.32850854067357,45.0934716786176,2.93392840065741e-11,1.97447513507442e-06,"Scd1","ENSMUSG00000037071","stellate"
"ENSMUSG00000001228.stellate",1.27193712602987,10.0440068136267,-1.92008531180388,1.33678700267891,42.3737522354755,6.25440011635959e-11,2.80605746020512e-06,"Uhrf1","ENSMUSG00000001228","stellate"
"ENSMUSG00000024503.cholangiocyte",-3.14736311368873,1.18194574332562,4.95781776042743,-1.65710906316374,38.1262140389018,2.21320838512716e-10,7.03920536515038e-06,"Spink1","ENSMUSG00000024503","cholangiocyte"
"ENSMUSG00000084309.hepatocyte",-1.00656305242806,-9.91437369585078,0.965644754517103,-0.366642884708662,38.2261689416999,2.61493854392046e-10,7.03920536515038e-06,NA,"ENSMUSG00000084309","hepatocyte"
"ENSMUSG00000027490.stellate",2.36375354886033,12.1474419024822,-1.60241544925482,0.39274475053934,36.4097954129169,5.39148417671448e-10,1.20945367374844e-05,"E2f1","ENSMUSG00000027490","stellate"
"ENSMUSG00000006585.stellate",1.30587672574408,10.4355763705224,-1.48460196543291,0.204099775080343,33.7867846593401,9.06972973936635e-10,1.74392763428536e-05,"Cdt1","ENSMUSG00000006585","stellate"
"ENSMUSG00000045273.stellate",3.8334678022293,14.5445516161368,-1.45920756720877,0.48439144797922,37.7528707240756,1.19550476469591e-09,2.01137699136264e-05,"Cenph","ENSMUSG00000045273","stellate"
"ENSMUSG00000030867.endothelial",6.35160010790159,3.26246796711023,-1.17634158598467,1.94265048215233,31.2058317997379,2.24409975378085e-09,3.16787360831561e-05,"Plk1","ENSMUSG00000030867","endothelial"
"ENSMUSG00000027331.endothelial",5.6594707576896,4.20914602568526,-0.297588865831684,2.4963484617281,31.0743203305082,2.35361645837588e-09,3.16787360831561e-05,"Knstrn","ENSMUSG00000027331","endothelial"
"ENSMUSG00000051378.endothelial",6.99916943519682,3.33996747051723,-0.638358374687541,0.820012964928628,30.472823116797,2.93239506619955e-09,3.47800862945195e-05,"Kif18b","ENSMUSG00000051378","endothelial"
"ENSMUSG00000037544.endothelial",6.73780940480756,4.66558423424584,-0.57793125968274,1.07813020423329,30.3214081705978,3.10084278532969e-09,3.47800862945195e-05,"Dlgap5","ENSMUSG00000037544","endothelial"
"ENSMUSG00000028044.endothelial",4.7669626661801,4.90746509034121,-0.528655685862168,3.19268544408053,29.5565818082092,4.1294831150011e-09,4.27547622574375e-05,"Cks1b","ENSMUSG00000028044","endothelial"
"ENSMUSG00000079017.endothelial",4.51388389666839,2.47304789026387,2.56788592872497,3.12812647787506,28.8776560422026,5.33812774742879e-09,4.83742338052566e-05,"Ifi27l2a","ENSMUSG00000079017","endothelial"
"ENSMUSG00000022422.stellate",1.69469021731019,11.5764849725343,-2.26138623655242,-0.460906265764878,30.0334564534432,5.55589276156575e-09,4.83742338052566e-05,"Dscc1","ENSMUSG00000022422","stellate"
"ENSMUSG00000059791.stellate",2.42647014589097,9.59441041953801,-0.952162387236206,1.22225394979516,30.679705725869,5.88790738112467e-09,4.83742338052566e-05,"Nrm","ENSMUSG00000059791","stellate"
"ENSMUSG00000049539.stellate",6.94472857944616,19.5918943315721,-0.501146097347069,-1.71324590207977,28.5267456599012,6.10985448816727e-09,4.83742338052566e-05,"H1f1","ENSMUSG00000049539","stellate"
"ENSMUSG00000006398.endothelial",5.87974728737666,3.3212271634075,-0.523079330770917,2.90960855213828,28.9442812766844,6.71063986360726e-09,4.88927460128789e-05,"Cdc20","ENSMUSG00000006398","endothelial"
"ENSMUSG00000073834.endothelial",-4.8694972562907,-3.19701289689313,-2.67005358940255,5.13654233059847,28.1427048328995,7.09275553962456e-09,4.88927460128789e-05,"Mup11","ENSMUSG00000073834","endothelial"
"ENSMUSG00000105987.stellate",0.857282684031655,5.55143368796658,-1.59132063250259,2.187447963428,28.0781871523014,7.27380200982082e-09,4.88927460128789e-05,"AI506816","ENSMUSG00000105987","stellate"
"ENSMUSG00000022665.stellate",4.10118778131708,4.49906318323512,2.45596086242552,6.10273922845498,27.9566520313181,7.62836686283736e-09,4.88927460128789e-05,"Ccdc80","ENSMUSG00000022665","stellate"
"ENSMUSG00000027955.endothelial",2.25504049056129,7.62785690362494,1.75233574486932,3.1432230270181,27.7110991538646,8.40220861068144e-09,5.1404712280149e-05,"Gask1b","ENSMUSG00000027955","endothelial"
"ENSMUSG00000032113.stellate",1.22738518695465,8.74022048165117,-1.86235938841992,-0.159479860316811,27.3382034116922,9.74167255398346e-09,5.70082677859112e-05,"Chek1","ENSMUSG00000032113","stellate"
"ENSMUSG00000028678.endothelial",6.14274065726418,3.74885909595662,-0.621540261001504,1.00686067293643,27.2307973772678,1.01684284026277e-08,5.70262412200032e-05,"Kif2c","ENSMUSG00000028678","endothelial"
"ENSMUSG00000026355.stellate",0.930581748982644,7.47043736302459,-1.423777372821,1.80178160952832,28.4365432738367,1.13384678149567e-08,5.88169346661058e-05,"Mcm6","ENSMUSG00000026355","stellate"
"ENSMUSG00000020427.kupffer",5.19496363439655,-1.60887441210394,3.71458318454186,-0.788760579524173,26.9542370951435,1.13617068955894e-08,5.88169346661058e-05,"Igfbp3","ENSMUSG00000020427","kupffer"
"ENSMUSG00000022945.stellate",1.37698242856512,8.22820374598472,-0.97348789875642,0.901980106024081,26.7338113222003,1.24195745930427e-08,6.19120393305622e-05,"Chaf1b","ENSMUSG00000022945","stellate"
"ENSMUSG00000041064.hepatocyte",7.11841003352778,22.211234846162,5.20274686335889,-0.960718329026002,26.5406550920049,1.34330522099843e-08,6.45726819733947e-05,"Pif1","ENSMUSG00000041064","hepatocyte"
"ENSMUSG00000026605.endothelial",5.2226375185625,1.82841091443887,-0.28520405115732,4.21104970716906,26.3003668245628,1.48184764887377e-08,6.86107901418383e-05,"Cenpf","ENSMUSG00000026605","endothelial"
"ENSMUSG00000026043.kupffer",6.54178654729323,5.32147073462496,3.10843646817601,0.154649852518502,26.1889998213145,1.55115429464319e-08,6.86107901418383e-05,"Col3a1","ENSMUSG00000026043","kupffer"
"ENSMUSG00000002068.stellate",2.02833139630756,8.32315824623371,-1.7850418609495,-0.126646877299473,26.143840012573,1.58023603554117e-08,6.86107901418383e-05,"Ccne1","ENSMUSG00000002068","stellate"
"ENSMUSG00000022385.stellate",5.95867340524535,15.0345729977598,0.746287626838104,-0.0790629252210617,28.3120599146559,1.67801125775881e-08,7.05792510154077e-05,"Gtse1","ENSMUSG00000022385","stellate"
"ENSMUSG00000096719.neutrophil",-4.85023442153646,-4.4866756354887,-3.45874717464867,2.61683901002259,25.8293982317838,2.27507477432512e-08,9.27927164621405e-05,"Mrgpra2b","ENSMUSG00000096719","neutrophil"
"ENSMUSG00000041431.endothelial",5.80740378043789,2.50201201347962,-0.728171384334078,2.19243202125581,25.1906377804187,2.35149884023449e-08,9.30889229118239e-05,"Ccnb1","ENSMUSG00000041431","endothelial"
"ENSMUSG00000020330.endothelial",5.71434124845206,2.93510632612278,-0.551761035802666,2.80325891642112,25.978484717207,2.47575739657126e-08,9.52077264425445e-05,"Hmmr","ENSMUSG00000020330","endothelial"
"ENSMUSG00000031146.stellate",-0.436056715298579,6.12147022134201,-1.58046148527742,1.39721936415783,24.8947396867472,2.66603721904901e-08,9.86104950191736e-05,"Plp2","ENSMUSG00000031146","stellate"
"ENSMUSG00000017737.monocyte",3.72023167562282,9.12496807661794,-0.101089319017901,1.95091252511401,26.6963907346476,2.82573982116293e-08,9.86104950191736e-05,"Mmp9","ENSMUSG00000017737","monocyte"
"ENSMUSG00000078688.hepatocyte",4.99413950859734,-0.414794538284237,3.06142908521236,1.04030502981123,24.7511981210144,2.83451340378395e-08,9.86104950191736e-05,"Mup2","ENSMUSG00000078688","hepatocyte"
"ENSMUSG00000022385.endothelial",5.64776349374798,3.98641293813926,-0.176440829123312,1.09460542055943,24.7324863090722,2.85729836380559e-08,9.86104950191736e-05,"Gtse1","ENSMUSG00000022385","endothelial"
"ENSMUSG00000026683.endothelial",5.47311890791099,3.21157606913511,-0.363380494061748,2.04361324787519,24.6447266249901,2.96679744389539e-08,9.98026971290176e-05,"Nuf2","ENSMUSG00000026683","endothelial"
"ENSMUSG00000001473.stellate",1.65153160339394,5.28226421475061,-1.45369943057581,3.8891380921971,24.9692650967575,3.10294231689258e-08,9.98026971290176e-05,"Tubb6","ENSMUSG00000001473","stellate"
"ENSMUSG00000041605.hepatocyte",5.67336088382239,14.5297731484367,2.04898932489543,-1.26888768502205,24.4776491329051,3.18782145492177e-08,9.98026971290176e-05,"Inava","ENSMUSG00000041605","hepatocyte"
"ENSMUSG00000045328.endothelial",5.97297745164721,3.41204141043845,-0.717612543382705,2.71439049575294,26.9630534050821,3.18844243257434e-08,9.98026971290176e-05,"Cenpe","ENSMUSG00000045328","endothelial"
"ENSMUSG00000034883.stellate",2.72098102920454,12.7614506013906,-1.48326807888173,-1.17266120301504,24.3835283326575,3.32000639030798e-08,0.000101558995479521,"Lrr1","ENSMUSG00000034883","stellate"
"ENSMUSG00000005410.stellate",0.700619305892277,8.39806830771343,-1.6165654021212,1.68371567742262,29.1712550163831,3.56114800701591e-08,0.00010651472825607,"Mcm5","ENSMUSG00000005410","stellate"
"ENSMUSG00000038146.stellate",3.91792001961563,4.54784297002724,2.62065980903372,0.839463810474743,24.0969280244437,3.75977213710647e-08,0.00010961598339845,"Notch3","ENSMUSG00000038146","stellate"
"ENSMUSG00000029661.kupffer",6.09564970924817,2.25947133983372,2.3111197586981,-0.329152059715046,24.0558573707104,3.82771495417927e-08,0.00010961598339845,"Col1a2","ENSMUSG00000029661","kupffer"
"ENSMUSG00000001131.stellate",-3.25524858072593,4.77584729770183,-1.5139807046406,1.73621543076929,23.9556354064335,3.99906591998363e-08,0.000112137140951274,"Timp1","ENSMUSG00000001131","stellate"
"ENSMUSG00000022665.kupffer",4.86547718329392,2.95727221201344,2.90349409109755,-0.493539446082664,23.7496682574235,4.37741864837097e-08,0.000118776819161703,"Ccdc80","ENSMUSG00000022665","kupffer"
"ENSMUSG00000061615.stellate",4.5629993645115,20.0006256360059,1.00150810237298,-1.63263054901046,23.7316195799408,4.41234580380187e-08,0.000118776819161703,"H2ac4","ENSMUSG00000061615","stellate"
"ENSMUSG00000028766.stellate",-2.0442298561893,2.73196681113899,-2.51176453915407,3.16453662878928,23.6838146649557,4.506299548274e-08,0.000118927430195978,"Alpl","ENSMUSG00000028766","stellate"
