"ensembl_gene_id","external_gene_name"
"1","ENSMUSG00000000028","Cdc45"
"2","ENSMUSG00000000049","Apoh"
"3","ENSMUSG00000000058","Cav2"
"4","ENSMUSG00000000088","Cox5a"
"5","ENSMUSG00000000142","Axin2"
"6","ENSMUSG00000000148","Brat1"
"7","ENSMUSG00000000168","Dlat"
"8","ENSMUSG00000000184","Ccnd2"
"9","ENSMUSG00000000202","Btbd17"
"10","ENSMUSG00000000223","Drp2"
"11","ENSMUSG00000000248","Clec2g"
"12","ENSMUSG00000000276","Dgke"
"13","ENSMUSG00000000303","Cdh1"
"14","ENSMUSG00000000305","Cdh4"
"15","ENSMUSG00000000308","Ckmt1"
"16","ENSMUSG00000000317","Bcl6b"
"17","ENSMUSG00000000318","Clec10a"
"18","ENSMUSG00000000320","Alox12"
"19","ENSMUSG00000000326","Comt"
"20","ENSMUSG00000000340","Dbt"
"21","ENSMUSG00000000346","Dazap2"
"22","ENSMUSG00000000378","Ccm2"
"23","ENSMUSG00000000402","Egfl6"
"24","ENSMUSG00000000416","Cttnbp2"
"25","ENSMUSG00000000530","Acvrl1"
"26","ENSMUSG00000000532","Acvr1b"
"27","ENSMUSG00000000562","Adora3"
"28","ENSMUSG00000000563","Atp5pb"
"29","ENSMUSG00000000579","Dynlt1c"
"30","ENSMUSG00000000581","C1d"
"31","ENSMUSG00000000605","Clcn4"
"32","ENSMUSG00000000682","Cd52"
"33","ENSMUSG00000000686","Abhd15"
"34","ENSMUSG00000000706","Btn1a1"
"35","ENSMUSG00000000724","Cryba1"
"36","ENSMUSG00000000730","Dnmt3l"
"37","ENSMUSG00000000731","Aire"
"38","ENSMUSG00000000743","Chmp1a"
"39","ENSMUSG00000000787","Ddx3x"
"40","ENSMUSG00000000805","Car4"
"41","ENSMUSG00000000826","Dnajc5"
"42","ENSMUSG00000000861","Bcl11a"
"43","ENSMUSG00000000881","Dlg3"
"44","ENSMUSG00000000982","Ccl3"
"45","ENSMUSG00000001017","Chtop"
"46","ENSMUSG00000001039","B9d1"
"47","ENSMUSG00000001076","C1ql4"
"48","ENSMUSG00000001119","Col6a1"
"49","ENSMUSG00000001127","Araf"
"50","ENSMUSG00000001128","Cfp"
"51","ENSMUSG00000001138","Cnnm3"
"52","ENSMUSG00000001175","Calm1"
"53","ENSMUSG00000001211","Agpat3"
"54","ENSMUSG00000001229","Dpp9"
"55","ENSMUSG00000001270","Ckb"
"56","ENSMUSG00000001300","Efnb2"
"57","ENSMUSG00000001348","Acp5"
"58","ENSMUSG00000001349","Cnn1"
"59","ENSMUSG00000001416","Cct3"
"60","ENSMUSG00000001435","Col18a1"
"61","ENSMUSG00000001467","Cyp51"
"62","ENSMUSG00000001482","Def8"
"63","ENSMUSG00000001506","Col1a1"
